00:40:51: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 42] Logger initialized
00:41:15: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:16: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:17: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:18: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:19: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:20: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:21: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:22: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:23: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:24: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:25: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:26: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:27: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:28: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:29: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:30: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:31: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:32: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:33: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:34: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:35: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:36: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:37: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:38: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:39: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:40: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:41: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:42: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:43: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:44: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:45: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:46: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:47: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:48: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:49: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:50: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:51: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:52: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:53: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:54: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:55: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:56: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:57: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:58: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:41:59: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:00: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:01: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:02: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:03: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:04: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:05: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:06: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:07: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:08: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:09: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:10: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:11: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:12: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:13: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:14: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:15: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:16: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:17: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:18: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:19: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:20: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:21: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:22: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:23: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:24: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:25: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:26: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:27: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:28: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:29: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:30: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:31: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:32: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:33: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:34: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:35: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:36: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:37: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:38: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:39: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:40: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:41: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:42: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:43: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:44: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:45: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:46: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:47: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:48: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:49: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:50: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:51: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:52: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:53: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:54: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:55: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:56: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:57: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:58: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
00:42:59: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 53] Heartbeat Sender: Sent heartbeat message.
