16:00:46: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 50] Logger initialized
16:00:54: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (2.35, 0.0, 0.12) m/s
16:00:55: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (1.11, 0.0, 0.11) m/s
16:00:55: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 0.0, 0.11) m/s
16:00:56: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 1.0, 0.1) m/s
16:00:56: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 1.9, 0.1) m/s
16:00:57: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 2.73, 0.09) m/s
16:00:57: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.87, 2.61, 0.09) m/s
16:00:58: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (1.67, 2.5, 0.08) m/s
16:00:58: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (2.4, 2.4, 0.08) m/s
16:00:59: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (2.31, 1.54, 0.08) m/s
16:00:59: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (2.22, 0.74, 0.07) m/s
16:01:00: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (2.14, 0.0, 0.07) m/s
16:01:00: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (1.38, 0.0, 0.07) m/s
16:01:01: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.67, 0.0, 0.07) m/s
16:01:01: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 0.0, 0.06) m/s
